Customer ID,segment,priority,recommended_action,insight
1729,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.70, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1730,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1731,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1732,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1733,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.40, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
1734,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.50, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
1735,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.90, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
1736,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.40, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1737,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.80, placing them in Priority 3, and is a Regular Customer with Above Average Score value and Low frequency. Recommended action: General Marketing."
1738,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 4.10, placing them in Priority 1, and is a High Value Customer with High Score value and High frequency. Recommended action: VIP Treatment."
1739,Loyal Customer,Priority 2,Retention campaigns,"Customer has a score of 3.40, placing them in Priority 2, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
1740,Loyal Customer,Priority 1,High-priority retention,"Customer has a score of 3.80, placing them in Priority 1, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: High-priority retention."
1741,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.30, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1742,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.10, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1743,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.80, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
1744,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1745,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
1746,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1747,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
1748,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.00, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1749,Infrequent Premium,Priority 1,Re-engagement campaigns,"Customer has a score of 3.50, placing them in Priority 1, and is a Infrequent Premium with High Score value and Low frequency. Recommended action: Re-engagement campaigns."
1750,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Above Average Score value and Medium frequency. Recommended action: General Marketing."
1751,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.40, placing them in Priority 1, and is a High Value Customer with High Score value and Medium frequency. Recommended action: VIP Treatment."
1752,Regular Customer,Priority 3,General Marketing,"Customer has a score of 1.70, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
1753,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.00, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1754,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1755,Regular Customer,Priority 1,General Marketing,"Customer has a score of 3.50, placing them in Priority 1, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
1756,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.30, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1757,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.40, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1758,Infrequent Premium,Priority 1,Re-engagement campaigns,"Customer has a score of 3.50, placing them in Priority 1, and is a Infrequent Premium with High Score value and Low frequency. Recommended action: Re-engagement campaigns."
1759,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.40, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1760,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.40, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1761,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
1762,Loyal Customer,Priority 1,High-priority retention,"Customer has a score of 3.80, placing them in Priority 1, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: High-priority retention."
1763,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
1764,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.20, placing them in Priority 2, and is a Regular Customer with Above Average Score value and Low frequency. Recommended action: General Marketing."
1765,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.10, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
1766,Infrequent Premium,Priority 2,Re-engagement campaigns,"Customer has a score of 3.10, placing them in Priority 2, and is a Infrequent Premium with High Score value and Low frequency. Recommended action: Re-engagement campaigns."
1767,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.70, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
1768,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.70, placing them in Priority 1, and is a High Value Customer with High Score value and High frequency. Recommended action: VIP Treatment."
1769,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.70, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1770,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.40, placing them in Priority 1, and is a High Value Customer with High Score value and Medium frequency. Recommended action: VIP Treatment."
1771,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1772,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.20, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1773,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.40, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1774,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.50, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
1775,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1776,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1777,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1778,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1779,Frequent Low Value,Priority 2,Encourage bundle purchases or upsell,"Customer has a score of 3.20, placing them in Priority 2, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1780,Loyal Customer,Priority 2,Retention campaigns,"Customer has a score of 3.40, placing them in Priority 2, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
1781,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.70, placing them in Priority 1, and is a High Value Customer with High Score value and High frequency. Recommended action: VIP Treatment."
1782,Regular Customer,Priority 3,General Marketing,"Customer has a score of 1.70, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
1783,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.70, placing them in Priority 1, and is a High Value Customer with High Score value and High frequency. Recommended action: VIP Treatment."
1784,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.00, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
1785,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.40, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1786,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.30, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1787,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.70, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1788,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.40, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1789,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1790,Regular Customer,Priority 3,General Marketing,"Customer has a score of 1.70, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
1791,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1792,Infrequent Premium,Priority 1,Re-engagement campaigns,"Customer has a score of 3.50, placing them in Priority 1, and is a Infrequent Premium with High Score value and Low frequency. Recommended action: Re-engagement campaigns."
1793,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.40, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
1794,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.40, placing them in Priority 1, and is a High Value Customer with High Score value and Medium frequency. Recommended action: VIP Treatment."
1795,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1796,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1797,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1798,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1799,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1800,Loyal Customer,Priority 3,Retention campaigns,"Customer has a score of 2.60, placing them in Priority 3, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
1801,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.70, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
1802,Loyal Customer,Priority 3,Retention campaigns,"Customer has a score of 3.00, placing them in Priority 3, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
1803,Loyal Customer,Priority 1,High-priority retention,"Customer has a score of 3.80, placing them in Priority 1, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: High-priority retention."
1804,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 4.10, placing them in Priority 1, and is a High Value Customer with High Score value and High frequency. Recommended action: VIP Treatment."
1805,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
1806,Loyal Customer,Priority 2,Retention campaigns,"Customer has a score of 3.40, placing them in Priority 2, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
1807,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.50, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
1808,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
1809,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1810,Frequent Low Value,Priority 2,Encourage bundle purchases or upsell,"Customer has a score of 3.20, placing them in Priority 2, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1811,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1812,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.80, placing them in Priority 3, and is a Regular Customer with Above Average Score value and Low frequency. Recommended action: General Marketing."
1813,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1814,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
1815,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.50, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
1816,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.40, placing them in Priority 1, and is a High Value Customer with High Score value and Medium frequency. Recommended action: VIP Treatment."
1817,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1818,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1819,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.00, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
1820,Infrequent Premium,Priority 2,Re-engagement campaigns,"Customer has a score of 3.10, placing them in Priority 2, and is a Infrequent Premium with High Score value and Low frequency. Recommended action: Re-engagement campaigns."
1821,Regular Customer,Priority 1,General Marketing,"Customer has a score of 3.50, placing them in Priority 1, and is a Regular Customer with Above Average Score value and Medium frequency. Recommended action: General Marketing."
1822,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.10, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
1823,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.20, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1824,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.70, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
1825,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.00, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
1826,Loyal Customer,Priority 2,Retention campaigns,"Customer has a score of 3.40, placing them in Priority 2, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
1827,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.80, placing them in Priority 3, and is a Regular Customer with Above Average Score value and Low frequency. Recommended action: General Marketing."
1828,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1829,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.40, placing them in Priority 1, and is a High Value Customer with High Score value and Medium frequency. Recommended action: VIP Treatment."
1830,Infrequent Premium,Priority 1,Re-engagement campaigns,"Customer has a score of 3.50, placing them in Priority 1, and is a Infrequent Premium with High Score value and Low frequency. Recommended action: Re-engagement campaigns."
1831,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.20, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1832,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1833,Regular Customer,Priority 3,General Marketing,"Customer has a score of 1.60, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
1834,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.40, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1835,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
1836,Infrequent Premium,Priority 2,Re-engagement campaigns,"Customer has a score of 3.10, placing them in Priority 2, and is a Infrequent Premium with High Score value and Low frequency. Recommended action: Re-engagement campaigns."
1837,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.40, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
1838,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1839,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.00, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1840,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.80, placing them in Priority 3, and is a Regular Customer with Above Average Score value and Low frequency. Recommended action: General Marketing."
1841,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.80, placing them in Priority 1, and is a High Value Customer with High Score value and Medium frequency. Recommended action: VIP Treatment."
1842,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.10, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1843,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.20, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1844,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Above Average Score value and Medium frequency. Recommended action: General Marketing."
1845,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.00, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1846,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.80, placing them in Priority 3, and is a Regular Customer with Above Average Score value and Low frequency. Recommended action: General Marketing."
1847,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.80, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1848,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 4.10, placing them in Priority 1, and is a High Value Customer with High Score value and High frequency. Recommended action: VIP Treatment."
1849,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Above Average Score value and Medium frequency. Recommended action: General Marketing."
1850,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.00, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
1851,High Value Customer,Priority 1,VIP Treatment,"Customer has a score of 3.70, placing them in Priority 1, and is a High Value Customer with High Score value and High frequency. Recommended action: VIP Treatment."
1852,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1853,Loyal Customer,Priority 2,Retention campaigns,"Customer has a score of 3.40, placing them in Priority 2, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
1854,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.80, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1855,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.80, placing them in Priority 3, and is a Regular Customer with Above Average Score value and Low frequency. Recommended action: General Marketing."
1856,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.20, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1857,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.70, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
1858,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.10, placing them in Priority 2, and is a Regular Customer with Above Average Score value and Medium frequency. Recommended action: General Marketing."
1859,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.20, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1860,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 1.60, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1861,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1862,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1863,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1864,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.30, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1865,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.50, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
1866,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1867,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1868,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.80, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1869,Loyal Customer,Priority 3,Retention campaigns,"Customer has a score of 3.00, placing them in Priority 3, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
1870,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.50, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1871,Loyal Customer,Priority 1,High-priority retention,"Customer has a score of 3.80, placing them in Priority 1, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: High-priority retention."
1872,Regular Customer,Priority 2,General Marketing,"Customer has a score of 3.20, placing them in Priority 2, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
1873,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.80, placing them in Priority 3, and is a Regular Customer with Average Score value and Medium frequency. Recommended action: General Marketing."
1874,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
1875,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1876,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.20, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1877,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.40, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1878,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 2.20, placing them in Priority 3, and is a Low Engagement with Low Score value and Low frequency. Recommended action: Re-engagement campaigns."
1879,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.30, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1880,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.30, placing them in Priority 3, and is a Regular Customer with Average Score value and High frequency. Recommended action: General Marketing."
1881,Low Engagement,Priority 3,Re-engagement campaigns,"Customer has a score of 1.70, placing them in Priority 3, and is a Low Engagement with Low Score value and Medium frequency. Recommended action: Re-engagement campaigns."
1882,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
1883,Regular Customer,Priority 3,General Marketing,"Customer has a score of 2.10, placing them in Priority 3, and is a Regular Customer with Average Score value and Low frequency. Recommended action: General Marketing."
1884,Loyal Customer,Priority 3,Retention campaigns,"Customer has a score of 3.00, placing them in Priority 3, and is a Loyal Customer with Above Average Score value and High frequency. Recommended action: Retention campaigns."
1885,Frequent Low Value,Priority 3,Encourage bundle purchases or upsell,"Customer has a score of 2.00, placing them in Priority 3, and is a Frequent Low Value with Low Score value and High frequency. Recommended action: Encourage bundle purchases or upsell."
